Signal Name,Point Name,Point Offset,Direction,Data Type,Cimplicity Resource,Scale Enabled,Scale Name,Units,Producer ID,Period (ms),Exchange Name,Exchange Length,Exchange Number,Exchange Revision,Destination,Description
E31\GEN_MVAR,EGD0036.0,36,WRITE,REAL,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,Gen VARs  (megaVoltsAmpsReactive)
E31\EXCTR_TRP,EGD0004.4,4.4,WRITE,BOOL,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,Trip logic (string) active (master)
E31\AVR\SS_TEST,EGD0006.0,6,WRITE,WORD,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,
E31\SS_MODE_ENAB,EGD0004.5,4.5,WRITE,BOOL,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,Static start mode enable from DSPX
E31\CUSTANALOGIN,EGD0040.0,40,WRITE,REAL,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,Customer analog into EPCT 4-20mA or 10V
E31\FVRSETPOINT,EGD0044.0,44,WRITE,REAL,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,Manual or Static Start Ref from ACL
E31\VARS,EGD0048.0,48,WRITE,REAL,E31,Disabled,,,E31,320,HIST,52,3,2.0,Broadcast to 192.168.101.255,Gen VARs  (VARs  pu)
G31\DTGGC_MAX,EGD0404.0,404,READ,REAL,,Disabled,TC,XXX,192.168.101.111,480,G31:EX4,1400,4,165.0,Broadcast,Maximum Of Fail Checked Temperature Signals       
G31\L3TE_COM_P,EGD0064.6,64.6,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,MKVIe to Exciter Communications Pulses (Heartbeat)
G31\L4EX_AUTO,EGD0092.7,92.7,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Request AVR (AUTO)=1/FVR(MAN)=0 Reg Select        
G31\L4EX_C1_CNTL,EGD0014.5,14.5,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Select Exciter M1 Control                         
G31\L4EX_C2_CNTL,EGD0219.6,219.6,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Select Exciter M2 Control                         
G31\L4EX_MANUAL,EGD0035.3,35.3,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Select Manual Voltage Regulator at Exciter        
G31\L4EX_PTRES,EGD0107.0,107.0,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Request Reset PT Failure Latch                    
G31\L4EX_RESET,EGD0073.2,73.2,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Request to Reset Exciter Alarms                   
G31\L4EX_STP_CMD,EGD0022.0,22.0,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Request To Stop Exciter - Single Shot             
G31\L4EX_STR_CMD,EGD0182.7,182.7,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Request To Start Exciter - Single Shot            
G31\L4EX_XFR_RST,EGD0099.0,99.0,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Reset Control Transfer Latch                      
G31\L4EXSS,EGD0208.5,208.5,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Exciter Enable Static Start                       
G31\L4PSSARMD,EGD0210.0,210.0,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Request PSS Armed (Ready)                         
G31\L4EX_LOWER,EGD0000.1,0.1,READ,BOOL,,Disabled,,,192.168.101.111,40,G31:EX5,68,5,119.0,Broadcast,Voltage Regulator Lower                           
G31\L4EX_RAISE,EGD0000.2,0.2,READ,BOOL,,Disabled,,,192.168.101.111,40,G31:EX5,68,5,119.0,Broadcast,Voltage Regulator Raise                           
L31\EX_REF_OUT,EGD0064.0,64,READ,REAL,L31,Disabled,,,192.168.101.110,50,L31:FDBKS,68,1,10.0,Broadcast,EGD EXCITER REF 1                                 
L31\E31\L3SSE_COM_P,EGD0002.3,2.3,READ,BOOL,L31,Disabled,,,192.168.101.110,50,L31:FDBKS,68,1,10.0,Broadcast,EGD COMM BETWEEN LCI AND EXC E1 HEARTBEAT         
UDH\E31\G31\HEALTHY,EGD0000.1,0.1,READ,BOOL,,Disabled,,,,320,E31:LINK,0,0,1.0,NA - Link Health,
UDH\E31\HIST\HEALTHY,EGD0000.2,0.2,READ,BOOL,,Disabled,,,,320,E31:LINK,0,0,1.0,NA - Link Health,
UDH\G31\EX4\HEALTHY,EGD0000.3,0.3,READ,BOOL,,Disabled,,,,320,E31:LINK,0,0,1.0,NA - Link Health,
UDH\G31\EX2\HEALTHY,EGD0000.4,0.4,READ,BOOL,,Disabled,,,,320,E31:LINK,0,0,1.0,NA - Link Health,
UDH\G31\EX5\HEALTHY,EGD0000.5,0.5,READ,BOOL,,Disabled,,,,320,E31:LINK,0,0,1.0,NA - Link Health,
UDH\L31\FDBKS\HEALTHY,EGD0000.6,0.6,READ,BOOL,,Disabled,,,,320,E31:LINK,0,0,1.0,NA - Link Health,
