Signal Name,Point Name,Point Offset,Direction,Data Type,Cimplicity Resource,Scale Enabled,Scale Name,Units,Producer ID,Period (ms),Exchange Name,Exchange Length,Exchange Number,Exchange Revision,Destination,Description
X30\S30\Forced_Sig,EGD0011.2,11.2,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,One or more Signals are forced
X30\S30\AFFLE,EGD0064.0,64,WRITE,REAL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Full Load Rotating Exciter Field Current 
X30\S30\VFFLE,EGD0068.0,68,WRITE,REAL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Full Load Rotating Exciter Field Voltage
X30\S30\ROT_GND_AL,EGD0011.3,11.3,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,3rd Party Rotating Ground Fault Detector Alarm
X30\S30\ROT_DIODE_FL,EGD0011.4,11.4,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Rotating Diode Fault
X30\S30\ROT_GND_MALF,EGD0011.5,11.5,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,3rd Party Rotating Ground Fault Det. Malfunction
X30\S30\ROT_DIO_MALF,EGD0011.6,11.6,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Rotating Diode Detector Malfunction
X30\S30\GEN_HI_V_ALM,EGD0011.7,11.7,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Gen High Voltage Alarm
X30\GN_IFG,EGD0080.0,80,WRITE,REAL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Gen Field Current    (FldCurrAmps Adc)
X30\S30\SW_DIODE_FL,EGD0072.0,72.0,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,Software Rotating Diode Fault
X30\S30\ANA_GND_AL,EGD0072.1,72.1,WRITE,BOOL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,3rd Party Ground Fault Detector Analog Alarm
X30\S30\ANA_GND_SIG,EGD0076.0,76,WRITE,REAL,X30,Disabled,,,X30,320,S30,84,1,12.1,Broadcast to 192.168.101.255,
vm1\s0\EBI001_SO_W1,EGD0000.0,0,WRITE,WORD,X30,Disabled,,,X30,1000,VMAX1,12,4,1.1,Directed to 192.168.101.218,
vm1\s0\EBI001_SO_W2,EGD0002.0,2,WRITE,WORD,X30,Disabled,,,X30,1000,VMAX1,12,4,1.1,Directed to 192.168.101.218,
vm1\s1\ALG320_AO_1,EGD0004.0,4,WRITE,WORD,X30,Disabled,,,X30,1000,VMAX1,12,4,1.1,Directed to 192.168.101.218,
vm1\s1\ALG320_AO_2,EGD0006.0,6,WRITE,WORD,X30,Disabled,,,X30,1000,VMAX1,12,4,1.1,Directed to 192.168.101.218,
vm1\s1\ALG320_AO_3,EGD0008.0,8,WRITE,WORD,X30,Disabled,,,X30,1000,VMAX1,12,4,1.1,Directed to 192.168.101.218,
vm1\s1\ALG320_AO_4,EGD0010.0,10,WRITE,WORD,X30,Disabled,,,X30,1000,VMAX1,12,4,1.1,Directed to 192.168.101.218,
S30\DTGGC_MAX,EGD1104.0,1104,READ,REAL,,Disabled,TC,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Cold Gas RTD Max Value                            
S30\L3TE_COM_P,EGD0090.2,90.2,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,MKVIe to Exciter Communications Pulses (Heartbeat)
S30\L4EX_C1_CNTL,EGD0092.5,92.5,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Select EX2K Main Core in Ctrl (Normal Operation)  
S30\L4EX_C2_CNTL,EGD0046.2,46.2,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Select EX2K Backup Core in Control                
S30\L4EX_MANUAL,EGD0070.2,70.2,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Select Manual Voltage Regulator at EX2K           
S30\L4EX_PTRES,EGD0022.4,22.4,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Request Reset PT Failure Latch                    
S30\L4EX_RESET,EGD0026.7,26.7,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Request to Reset Exciter Alarms                   
S30\L4EX_XFR_RST,EGD0097.5,97.5,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Reset Control Transfer Latch                      
S30\L4PSSARMD,EGD0078.5,78.5,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX2,1400,2,50.0,Broadcast,Request PSS Armed (Ready)                         
S30\L4EX_AUTO,EGD0179.4,179.4,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX7,208,7,13.3,Broadcast,Request AVR (AUTO)=1/FVR(MAN)=0 Reg Select        
S30\L4EX_LOWER,EGD0179.5,179.5,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX7,208,7,13.3,Broadcast,Voltage Regulator Lower                           
S30\L4EX_RAISE,EGD0179.6,179.6,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX7,208,7,13.3,Broadcast,Voltage Regulator Raise                           
S30\L4EX_STP_CMD,EGD0179.7,179.7,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX7,208,7,13.3,Broadcast,Request to Stop EX2K-Single Shot                  
S30\L4EX_STR_CMD,EGD0180.0,180.0,READ,BOOL,,Disabled,,,192.168.101.211,40,S30:EX7,208,7,13.3,Broadcast,Request to Start EX2K-Single Shot                 
vm1\s0\EBI001_SI_W1,EGD0000.0,0,READ,WORD,,Disabled,,,192.168.101.218,1000,VMAX1:EXCH1,4,1,1.1,Broadcast,
vm1\s0\EBI001_SI_W2,EGD0002.0,2,READ,WORD,,Disabled,,,192.168.101.218,1000,VMAX1:EXCH1,4,1,1.1,Broadcast,
UDH\X30\S30\HEALTHY,EGD0000.1,0.1,READ,BOOL,,Disabled,,,,320,X30:LINK,0,0,1.0,NA - Link Health,
UDH\X30\VMAX1\HEALTHY,EGD0000.2,0.2,READ,BOOL,,Disabled,,,,320,X30:LINK,0,0,1.0,NA - Link Health,
UDH\S30\EX2\HEALTHY,EGD0000.3,0.3,READ,BOOL,,Disabled,,,,320,X30:LINK,0,0,1.0,NA - Link Health,
UDH\S30\EX7\HEALTHY,EGD0000.4,0.4,READ,BOOL,,Disabled,,,,320,X30:LINK,0,0,1.0,NA - Link Health,
UDH\VMAX1\EXCH1\HEALTHY,EGD0000.5,0.5,READ,BOOL,,Disabled,,,,320,X30:LINK,0,0,1.0,NA - Link Health,
